palavras_topico;Macro;Micro
aba;NR;NR
abono_pecuniario;erp;folha_pagamento
acaba;NR;NR
account;infraestrutura;acesso
acessar;infraestrutura;acesso
acesso;infraestrutura;acesso
acha;NR;NR
acionando_condicao;infraestrutura;acesso
acionista;erp;financeiro
ackup;infraestrutura;backup
aconcagua;infraestrutura;servidor
acontece;NR;NR
acordo;erp;financeiro
acumulado;erp;obras
adiantamento;erp;financeiro
adicional;erp;folha_pagamento
admissao;erp;folha_pagamento
aefd;erp;contabil/fiscal
agendamento;erp;customizacao
agendar;NR;NR
ago_set;NR;NR
agregacao_previsto;erp;obras
agropecuaria_bicas;erp;faturamento
ajuda;NR;NR
ajude;NR;NR
ajuste;NR;NR
alameda_bellomonte;erp;obras
alert;infraestrutura;monitoramento
aliquota;erp;contabil/fiscal
almocar;NR;NR
almoco;NR;NR
almoxarifado;erp;faturamento
alteracao;NR;NR
alteracoes;NR;NR
alternativa;NR;NR
alugar;erp;incorporação
analises;NR;NR
analitico;NR;NR
analiticos;NR;NR
ano;NR;NR
answers;NR;NR
antivirus;infraestrutura;monitoramento
anydesk;infraestrutura;monitoramento
apague;NR;NR
apague_opinioes;NR;NR
apareca;NR;NR
aparece;NR;NR
aparelho;infraestrutura;hardware
aparentemente;NR;NR
aplicativos;infraestrutura;software
apontamento;erp;obras
aprovar;erp;faturamento
aquisicao;infraestrutura;hardware
armazenamento;infraestrutura;hardware
arqpolitica;infraestrutura;software
arquitetura;infraestrutura;software
arrendamento;erp;financeiro
ascont_desenho;infraestrutura;software
assinado;NR;NR
associado;erp;faturamento
assuntos_urgentes;NR;NR
asus;infraestrutura;hardware
atendimentos;NR;NR
atividades;NR;NR
atrasos;erp;folha_pagamento
atualizacao;infraestrutura;software
audio;infraestrutura;hardware
authentication_method;infraestrutura;acesso
autocad;infraestrutura;software
automatize_emails;infraestrutura;software
autorizacao_performance;infraestrutura;hardware
available;NR;NR
avaliar;NR;NR
avalie;NR;NR
avaliem;NR;NR
avisando;NR;NR
backup;infraestrutura;backup
backupferente;infraestrutura;backup
backups;infraestrutura;backup
baedfffsubscription;NR;NR
baloes;NR;NR
bancarias;erp;financeiro
base_liquida;erp;folha_pagamento
batagim_estagiaria;NR;NR
beecloud;erp;customizacao
beginning;NR;NR
bens;erp;patrimonio
best;NR;NR
bicas;erp;incorporação
bitencourt;NR;NR
bkp;infraestrutura;backup
boletos;erp;financeiro
brutos;erp;faturamento
buscar;NR;NR
cabos;infraestrutura;hardware
cadastrando;NR;NR
cadete;NR;NR
calculando;erp;faturamento
calculo;erp;faturamento
calculou;erp;faturamento
camera;infraestrutura;hardware
campos_viana;NR;NR
cancelando;NR;NR
caput;NR;NR
carandai;erp;incorporação
cargill;erp;faturamento
cash;erp;financeiro
caucao;erp;financeiro
celulas_marcadas;erp;customizacao
certa_urgencia;NR;NR
certo;NR;NR
cessao;erp;incorporação
cfop;erp;contabil/fiscal
checar_disco;infraestrutura;hardware
chega;NR;NR
chip;infraestrutura;hardware
classic_alerts;infraestrutura;monitoramento
clausula;erp;incorporação
cloud;infraestrutura;hardware
cmado;NR;NR
cnae;erp;contabil/fiscal
cnpj;erp;contabil/fiscal
cofins;erp;contabil/fiscal
coigada;erp;faturamento
coletas;erp;folha_pagamento
colig;erp;faturamento
coligada;erp;faturamento
coloca;NR;NR
colocando;NR;NR
colocar;NR;NR
coluna;erp;customizacao
comprador_cond;erp;faturamento
compras;erp;faturamento
comprometendo;NR;NR
computador;infraestrutura;hardware
computadores;infraestrutura;hardware
compute;infraestrutura;hardware
condicao_device;infraestrutura;monitoramento
condicao_espaco;infraestrutura;monitoramento
conectado;infraestrutura;rede
conectar;infraestrutura;rede
conexao;infraestrutura;rede
conferencia;infraestrutura;rede
confianca;NR;NR
configura_ofensa;NR;NR
configurado;NR;NR
configurar;NR;NR
configurarem;NR;NR
confrontando;erp;incorporação
consegue;NR;NR
consegui;NR;NR
conseguir;NR;NR
construtora;erp;obras
conta;erp;financeiro
contabil;erp;contabil/fiscal
contabilidade;erp;contabil/fiscal
contabilizando;erp;contabil/fiscal
contabilizou;erp;contabil/fiscal
contadora;erp;contabil/fiscal
conter;NR;NR
continua;NR;NR
contratempo;NR;NR
contrato;erp;incorporação
controle;NR;NR
controle_desprovida;NR;NR
corrige_valores;erp;faturamento
