ClassN1,ID,TextoTratado,CreateTime,TotalTimeTracked,dominant_topic,top_words
Infrastructure,18332,internet sites,17/07/2025 09:41:34,2400,4,"modelos, produtos, itens, fornecedores, cadastros"
ERP,18330,pixioline desligado bloqueio dele acesso bloqueado,16/07/2025 17:06:25,120,6,"ajustado, usado, explicado, solicitada, admitida"
ERP,18329,desligada bloqueio acesso bloqueado,16/07/2025 17:05:59,60,6,"ajustado, usado, explicado, solicitada, admitida"
ERP,18328,desligado bloqueio dele acesso bloqueado,16/07/2025 17:05:46,240,6,"ajustado, usado, explicado, solicitada, admitida"
ERP,18327,cotacao fornecimento montagem loco reservatorio inferior capacidade total litros agua podendo dividido modulos atender limitacoes espaco subsolo capacidade total seja mantida superada avaliar ajustes posicoes conexoes necessario,16/07/2025 17:05:42,0,6,"ajustado, usado, explicado, solicitada, admitida"
ERP,18326,bloqueio desligamento redirecionar demanda bloqueado,16/07/2025 16:58:18,120,6,"ajustado, usado, explicado, solicitada, admitida"
Infrastructure,18316,acessar teams planilhas senha resetada acesso teams planilhas ocorre licenca basic aplicativos office navegador planilha favoritos,16/07/2025 14:36:13,2100,0,"first, seven, not, three, public"
ERP,18314,liberacao usuario parcial liberados obras projetos backoffice contexto quadra liberado liberacoes formulario enviado agilidade liberacoes acesso intranet trabalho pasta compartilhada urgencia,16/07/2025 13:09:46,2520,6,"ajustado, usado, explicado, solicitada, admitida"
Infrastructure,18312,comeca provavelmente precisar acessos,16/07/2025 12:40:36,120,4,"modelos, produtos, itens, fornecedores, cadastros"
ERP,18311,colaboradora matricula coligada quadra retornando ferias acessar gerar senha usuario acessar aplicativo,16/07/2025 11:50:24,300,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18310,webinar totvs clock webinar totvs clock,16/07/2025 11:36:56,4380,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18309,webinar totvs clockin,16/07/2025 11:31:30,5400,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18303,apuracao quantidade funcionarios clientes reuniao parceiro,16/07/2025 09:43:17,1800,4,"modelos, produtos, itens, fornecedores, cadastros"
ERP,18301,rede portas bloqueados bloqueio acessos desligamento,16/07/2025 09:16:19,120,9,"encerrados, faturados, criadas, corrompidos, contabilizados"
ERP,18299,agrupamento movimentos aparece enviar nota identificador tss retorna nota campo tamanho permitido tornando schema xml invalido,16/07/2025 08:00:05,900,8,"xml, sql, mysql, pdf, txt"
ERP,18298,atualizacao patch recente,15/07/2025 20:43:58,4500,0,"first, seven, not, three, public"
Infrastructure,18297,upgrade from basic standard sku public addresses september basic sku retired and you longer able create new basic sku public addresses after march,15/07/2025 19:20:21,0,0,"first, seven, not, three, public"
Infrastructure,18296,deslocamento casa,15/07/2025 17:26:04,4200,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18295,teams acesso login senha alterada,15/07/2025 17:13:45,1020,6,"ajustado, usado, explicado, solicitada, admitida"
ERP,18294,resetar senha usuario resetar senha campos,15/07/2025 17:00:38,780,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18292,realizar cadastro funcionario transferido obra fleming aparece possui cadastro realizar cadastro relogio necessario aguardar transferencia dele obra estoril,15/07/2025 15:46:20,120,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18291,reuniao alinhamento acesso banco rotinas,15/07/2025 15:32:32,1800,7,"entregas, telas, ferias, pastas, obras"
Infrastructure,18289,acesso impressora colorida,15/07/2025 14:53:06,1500,1,"tolerancia, montagem, administracao, unidade, pasta"
